# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.4388348951     -881.6914297150
        3.2388348951     -881.6909709610
        3.0388348951     -881.6882257510
        2.8388348951     -881.6867294610
        2.6388348951     -881.6825761530
        2.4388348951     -881.6762449420
        2.2388348951     -881.6679246860
        2.0388348951     -881.6582894490
        1.8388348951     -881.6735208060
        1.6388348951     -881.6784655860
        1.4388348951     -881.6636003710
